Ticker,Date,signals,short avg,long avg,short vol,long vol,positions
OCUL,2019-10-08,1,3.155,3.082,0.0636,0.0958,0.0
OCUL,2019-10-09,0,3.05,3.092,0.0849,0.0782,-1.0
OCUL,2019-10-10,0,2.935,3.046,0.0778,0.121,0.0
OCUL,2019-10-11,0,2.86,3.004,0.0283,0.1518,0.0
OCUL,2019-10-14,0,2.89,2.952,0.0707,0.1052,0.0
OCUL,2019-10-15,1,3.0,2.942,0.0849,0.0873,1.0
OCUL,2019-10-16,1,3.17,3.0,0.1556,0.1772,0.0
OCUL,2019-10-17,1,3.285,3.082,0.0071,0.201,0.0
OCUL,2019-10-18,1,3.365,3.202,0.1061,0.1995,0.0
OCUL,2019-10-21,1,3.455,3.308,0.0212,0.163,0.0
OCUL,2019-10-22,1,3.45,3.382,0.0283,0.0898,0.0
OCUL,2019-10-23,1,3.525,3.45,0.1344,0.1177,0.0
OCUL,2019-10-24,1,3.53,3.48,0.1273,0.0797,0.0
OCUL,2019-10-25,0,3.32,3.432,0.1697,0.1506,-1.0
OCUL,2019-10-28,0,3.255,3.4,0.0778,0.1573,0.0
OCUL,2019-10-29,0,3.4,3.412,0.1273,0.1624,0.0
OCUL,2019-10-30,1,3.37,3.338,0.1697,0.1236,1.0
OCUL,2019-10-31,0,3.3,3.32,0.0707,0.1109,-1.0
OCUL,2019-11-01,0,3.325,3.34,0.0354,0.0911,0.0
OCUL,2019-11-04,1,3.375,3.368,0.1061,0.1006,1.0
OCUL,2019-11-05,1,3.455,3.362,0.0071,0.092,0.0
OCUL,2019-11-06,1,3.425,3.39,0.0495,0.0675,0.0
OCUL,2019-11-07,1,3.415,3.408,0.0354,0.0661,0.0
OCUL,2019-11-08,0,3.405,3.422,0.0495,0.0396,-1.0
OCUL,2019-11-11,0,3.335,3.392,0.0495,0.063,0.0
OCUL,2019-11-12,0,3.055,3.262,0.3465,0.2576,0.0
OCUL,2019-11-13,0,2.71,3.106,0.1414,0.3717,0.0
OCUL,2019-11-14,0,2.705,2.978,0.1344,0.3364,0.0
OCUL,2019-11-15,0,2.73,2.836,0.099,0.2736,0.0
OCUL,2019-11-18,0,2.69,2.72,0.0424,0.0869,0.0
OCUL,2019-11-19,1,2.715,2.7,0.0071,0.0711,1.0
OCUL,2019-11-20,1,2.76,2.74,0.0707,0.0636,0.0
OCUL,2019-11-21,1,2.81,2.742,0.0,0.0661,0.0
OCUL,2019-11-22,1,2.865,2.794,0.0778,0.085,0.0
OCUL,2019-11-25,1,3.085,2.9,0.2333,0.2093,0.0
OCUL,2019-11-26,1,3.22,2.996,0.0424,0.2104,0.0
OCUL,2019-11-27,1,3.195,3.074,0.0071,0.196,0.0
OCUL,2019-11-29,1,3.36,3.216,0.2263,0.2134,0.0
OCUL,2019-12-02,1,3.735,3.422,0.3041,0.3245,0.0
OCUL,2019-12-03,1,3.915,3.548,0.0495,0.3612,0.0
OCUL,2019-12-04,1,3.935,3.708,0.0778,0.3395,0.0
OCUL,2019-12-05,1,4.035,3.884,0.0636,0.2159,0.0
OCUL,2019-12-06,1,4.15,4.024,0.099,0.1313,0.0
OCUL,2019-12-09,1,4.285,4.104,0.0919,0.1856,0.0
OCUL,2019-12-10,1,4.18,4.13,0.2404,0.1525,0.0
OCUL,2019-12-11,0,4.045,4.148,0.0495,0.1363,-1.0
OCUL,2019-12-12,0,4.03,4.128,0.0707,0.1548,0.0
OCUL,2019-12-13,0,4.03,4.1,0.0707,0.1465,0.0
OCUL,2019-12-16,1,4.09,4.05,0.0141,0.052,1.0
OCUL,2019-12-17,1,4.08,4.06,0.0283,0.0469,0.0
OCUL,2019-12-18,0,4.0,4.032,0.0849,0.0687,-1.0
OCUL,2019-12-19,0,3.94,4.024,0.0,0.078,0.0
OCUL,2019-12-20,0,3.935,3.994,0.0071,0.0799,0.0
OCUL,2019-12-23,0,3.965,3.974,0.0495,0.0555,0.0
OCUL,2019-12-24,1,4.145,4.02,0.2051,0.1535,1.0
OCUL,2019-12-26,1,4.51,4.178,0.3111,0.3417,0.0
OCUL,2019-12-27,1,4.665,4.31,0.0919,0.354,0.0
OCUL,2019-12-30,1,4.38,4.356,0.3111,0.3037,0.0
OCUL,2019-12-31,0,4.01,4.328,0.2121,0.348,-1.0
OCUL,2020-01-02,0,3.925,4.268,0.0919,0.3805,0.0
OCUL,2020-01-03,0,4.015,4.13,0.0354,0.2839,0.0
OCUL,2020-01-06,1,4.165,4.068,0.1768,0.1642,1.0
