Date,ticker,stock,holdings,cash,total,returns
2020-02-07,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-02-10,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-02-11,NGM,0.0,0.0,3089.85,3089.85,0.0
2020-02-12,NGM,495.0,495.0,2594.85,3089.85,0.0
2020-02-13,NGM,0.0,0.0,3080.25,3080.25,-0.0031
2020-02-14,NGM,489.0,489.0,2591.25,3080.25,0.0
2020-02-18,NGM,0.0,0.0,3098.85,3098.85,0.006
2020-02-19,NGM,0.0,0.0,3098.85,3098.85,0.0
2020-02-20,NGM,498.3,498.3,2600.55,3098.85,0.0
2020-02-21,NGM,0.0,0.0,3089.25,3089.25,-0.0031
2020-02-24,NGM,0.0,0.0,3089.25,3089.25,0.0
2020-02-25,NGM,0.0,0.0,3089.25,3089.25,0.0
2020-02-26,NGM,0.0,0.0,3089.25,3089.25,0.0
2020-02-27,NGM,0.0,0.0,3089.25,3089.25,0.0
2020-02-28,NGM,0.0,0.0,3089.25,3089.25,0.0
2020-03-02,NGM,0.0,0.0,3089.25,3089.25,0.0
2020-03-03,NGM,0.0,0.0,3089.25,3089.25,0.0
2020-03-04,NGM,0.0,0.0,3089.25,3089.25,0.0
2020-03-05,NGM,546.3,546.3,2542.95,3089.25,0.0
2020-03-06,NGM,0.0,0.0,3080.25,3080.25,-0.0029
2020-03-09,NGM,0.0,0.0,3080.25,3080.25,0.0
2020-03-10,NGM,0.0,0.0,3080.25,3080.25,0.0
2020-03-11,NGM,0.0,0.0,3080.25,3080.25,0.0
2020-03-12,NGM,0.0,0.0,3080.25,3080.25,0.0
2020-03-13,NGM,0.0,0.0,3080.25,3080.25,0.0
2020-03-16,NGM,0.0,0.0,3080.25,3080.25,0.0
2020-03-17,NGM,0.0,0.0,3080.25,3080.25,0.0
2020-03-18,NGM,0.0,0.0,3080.25,3080.25,0.0
2020-03-19,NGM,0.0,0.0,3080.25,3080.25,0.0
2020-03-20,NGM,0.0,0.0,3080.25,3080.25,0.0
2020-03-23,NGM,348.0,348.0,2732.25,3080.25,0.0
2020-03-24,NGM,0.0,0.0,3104.85,3104.85,0.008
2020-03-25,NGM,0.0,0.0,3104.85,3104.85,0.0
2020-03-26,NGM,0.0,0.0,3104.85,3104.85,0.0
2020-03-27,NGM,406.5,406.5,2698.35,3104.85,0.0
2020-03-30,NGM,0.0,0.0,3092.55,3092.55,-0.004
2020-03-31,NGM,0.0,0.0,3092.55,3092.55,0.0
2020-04-01,NGM,0.0,0.0,3092.55,3092.55,0.0
2020-04-02,NGM,0.0,0.0,3092.55,3092.55,0.0
2020-04-03,NGM,0.0,0.0,3092.55,3092.55,0.0
2020-04-06,NGM,0.0,0.0,3092.55,3092.55,0.0
2020-04-07,NGM,0.0,0.0,3092.55,3092.55,0.0
2020-04-08,NGM,0.0,0.0,3092.55,3092.55,0.0
2020-04-09,NGM,462.0,462.0,2630.55,3092.55,0.0
2020-04-13,NGM,458.4,458.4,2630.55,3088.95,-0.0012
2020-04-14,NGM,458.4,458.4,2630.55,3088.95,0.0
2020-04-15,NGM,0.0,0.0,3103.65,3103.65,0.0048
2020-04-16,NGM,0.0,0.0,3103.65,3103.65,0.0
2020-04-17,NGM,0.0,0.0,3103.65,3103.65,0.0
2020-04-20,NGM,0.0,0.0,3103.65,3103.65,0.0
2020-04-21,NGM,0.0,0.0,3103.65,3103.65,0.0
2020-04-22,NGM,0.0,0.0,3103.65,3103.65,0.0
2020-04-23,NGM,484.8,484.8,2618.85,3103.65,0.0
2020-04-24,NGM,0.0,0.0,3113.25,3113.25,0.0031
2020-04-27,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-04-28,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-04-29,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-04-30,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-01,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-04,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-05,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-06,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-07,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-08,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-11,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-12,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-13,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-14,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-15,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-18,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-19,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-20,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-21,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-22,NGM,0.0,0.0,3113.25,3113.25,0.0
2020-05-26,NGM,626.7,626.7,2486.55,3113.25,0.0
2020-05-27,NGM,629.1,629.1,2486.55,3115.65,0.0008
2020-05-28,NGM,0.0,0.0,3097.05,3097.05,-0.006
2020-05-29,NGM,0.0,0.0,3097.05,3097.05,0.0
2020-06-01,NGM,0.0,0.0,3097.05,3097.05,0.0
2020-06-02,NGM,0.0,0.0,3097.05,3097.05,0.0
2020-06-03,NGM,0.0,0.0,3097.05,3097.05,0.0
2020-06-04,NGM,0.0,0.0,3097.05,3097.05,0.0
2020-06-05,NGM,0.0,0.0,3097.05,3097.05,0.0
2020-06-08,NGM,0.0,0.0,3097.05,3097.05,0.0
2020-06-09,NGM,0.0,0.0,3097.05,3097.05,0.0
2020-06-10,NGM,650.1,650.1,2446.95,3097.05,-0.0
2020-06-11,NGM,0.0,0.0,3085.95,3085.95,-0.0036
2020-06-12,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-15,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-16,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-17,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-18,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-19,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-22,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-23,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-24,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-25,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-26,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-29,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-06-30,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-01,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-02,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-06,NGM,0.0,0.0,3085.95,3085.95,0.0
2020-07-07,NGM,0.0,0.0,3085.95,3085.95,0.0
